stage,score,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,param,value
search:dca_depths,252.17607039034942,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.012,0.001,10000.0,0,35858.55468747557,258.58554687475566,153.7360197256392,1653,100.0,0.9977012000000005,62.72984322937491,3.970203313423777,7047.362586079223,dca_depths,"[0.03, 0.1, 0.25, 0.5]"
search:dca_depths,178.03007869309013,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.04, 0.12, 0.28, 0.55]",0.012,0.001,10000.0,0,28411.90872160965,184.1190872160965,153.7360197256392,1475,100.0,0.9977012000000017,60.59339015337562,4.751066946224259,4762.261520640513,dca_depths,"[0.04, 0.12, 0.28, 0.55]"
search:dca_depths,92.72643439049335,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.05, 0.15, 0.3, 0.6]",0.012,0.001,10000.0,0,19834.05270252486,98.3405270252486,153.7360197256392,1315,100.0,0.9977012000000013,57.427284231701705,2.3463668298577756,3501.403219216821,dca_depths,"[0.05, 0.15, 0.3, 0.6]"
search:dca_depths,279.25450349019223,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,38619.6653841417,286.196653841417,153.7360197256392,1632,100.0,0.9977012000000007,66.28100234149863,2.9831921021114245,8769.116195914106,dca_depths,"[0.02, 0.08, 0.2, 0.4]"
search:dca_depths,270.6765037904859,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.012,0.001,10000.0,0,37782.10897313578,277.8210897313578,153.7360197256392,1731,100.0,0.9977012000000007,67.63057293914574,2.7063077671268814,8973.541329063319,dca_depths,"[0.03, 0.08, 0.18, 0.35]"
search:dca_depths,233.36371992804223,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.05, 0.12, 0.25, 0.45]",0.012,0.001,10000.0,0,33998.135142979576,239.98135142979575,153.7360197256392,1494,100.0,0.9977012000000016,64.11754334502349,173.6763752004237,4873.966908263282,dca_depths,"[0.05, 0.12, 0.25, 0.45]"
search:dca_depths,179.98326531641953,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.2, 0.4]",0.012,0.001,10000.0,0,28691.404885641907,186.91404885641907,153.7360197256392,1472,100.0,0.9977012000000013,66.20522359999697,2.757897841102454,5978.69745463557,dca_depths,"[0.03, 0.1, 0.2, 0.4]"
search:dca_depths,120.35171191857208,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.04, 0.1, 0.22, 0.45]",0.012,0.001,10000.0,0,22704.556180402044,127.04556180402045,153.7360197256392,1518,100.0,0.9977012000000014,64.62566590298916,1.8770854033312858,5540.296291536133,dca_depths,"[0.04, 0.1, 0.22, 0.45]"
search:sub_order_weights,279.25450349019223,0.05,"[1, 2, 4, 8]","[1.0, 2.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,38619.6653841417,286.196653841417,153.7360197256392,1632,100.0,0.9977012000000007,66.28100234149863,2.9831921021114245,8769.116195914106,sub_order_weights,"[1, 2, 4]"
search:sub_order_weights,188.13031702563944,0.05,"[1, 2, 4, 8]","[1.0, 1.0, 1.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,29533.550268776646,195.33550268776648,153.7360197256392,1469,100.0,0.9977012000000004,68.03457108084682,1.8139965472956074,8857.223707569023,sub_order_weights,"[1, 1, 1]"
search:sub_order_weights,181.35867808785844,0.05,"[1, 2, 4, 8]","[4.0, 2.0, 1.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,28881.763428280414,188.81763428280416,153.7360197256392,1311,100.0,0.9977012000000013,69.72637463297157,1.715536387886282,9208.90490057895,sub_order_weights,"[4, 2, 1]"
search:sub_order_weights,266.2768510482984,0.05,"[1, 2, 4, 8]","[1.0, 2.0, 3.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,37328.10388645878,273.28103886458786,153.7360197256392,1576,100.0,0.9977012000000005,66.69458544192968,2.873724312895374,8537.356089660647,sub_order_weights,"[1, 2, 3]"
search:sub_order_weights,266.5781416896768,0.05,"[1, 2, 4, 8]","[1.0, 3.0, 5.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,37348.845283762224,273.4884528376222,153.7360197256392,1616,100.0,0.997701200000001,66.06874098630296,2.966608948579858,8404.178103447357,sub_order_weights,"[1, 3, 5]"
search:sub_order_weights,303.4465919938055,0.05,"[1, 2, 4, 8]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,41051.77817506825,310.5177817506825,153.7360197256392,1629,100.0,0.9977012000000002,67.14126504584654,2.829038964199822,9779.925833740475,sub_order_weights,"[2, 3, 4]"
search:reentry_delay_bars,303.4465919938055,0.05,"[1, 2, 4, 8]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,0,41051.77817506825,310.5177817506825,153.7360197256392,1629,100.0,0.9977012000000002,67.14126504584654,2.829038964199822,9779.925833740475,reentry_delay_bars,0
search:reentry_delay_bars,223.4580058263859,0.05,"[1, 2, 4, 8]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,1,33051.86132192558,230.51861321925577,153.7360197256392,1421,100.0,0.9977012000000013,67.07071595246596,2.7527360707257693,7376.602702277971,reentry_delay_bars,1
search:reentry_delay_bars,146.036210884977,0.05,"[1, 2, 4, 8]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,3,25310.740064185396,153.10740064185399,153.7360197256392,1135,100.0,0.9977012000000013,67.14126504584654,2.507765658524017,5193.64784112239,reentry_delay_bars,3
search:reentry_delay_bars,109.12631305611386,0.05,"[1, 2, 4, 8]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,6,21618.076678539983,116.18076678539984,153.7360197256392,1008,100.0,0.9977012000000011,67.02969152857317,2.340547074155168,4140.561269988467,reentry_delay_bars,6
search:reentry_delay_bars,96.40919334895607,0.05,"[1, 2, 4, 8]","[2.0, 3.0, 4.0]","[0.02, 0.08, 0.2, 0.4]",0.012,0.001,10000.0,12,20347.993299489473,103.47993299489472,153.7360197256392,890,100.0,0.9977012000000014,67.13826430625772,2.5177250553522326,3507.5680915010257,reentry_delay_bars,12
